=== Trainable / Frozen Parameter Report ===
Total params: 269,178,151
Trainable params: 269,178,151 (100.00%)
Frozen params: 0

=== Top-level module summary ===
- diffusion | trainable 269,178,151 (100.00%) | frozen 0 | (param cnt: tr 212, fr 0)

=== Trainable parameters (count=212) ===
diffusion.rgb_encoder.backbone.0.weight	shape=(64, 3, 7, 7)	numel=9,408	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.1.weight	shape=(64,)	numel=64	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.1.bias	shape=(64,)	numel=64	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.4.0.conv1.weight	shape=(64, 64, 3, 3)	numel=36,864	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.4.0.bn1.weight	shape=(64,)	numel=64	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.4.0.bn1.bias	shape=(64,)	numel=64	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.4.0.conv2.weight	shape=(64, 64, 3, 3)	numel=36,864	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.4.0.bn2.weight	shape=(64,)	numel=64	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.4.0.bn2.bias	shape=(64,)	numel=64	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.4.1.conv1.weight	shape=(64, 64, 3, 3)	numel=36,864	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.4.1.bn1.weight	shape=(64,)	numel=64	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.4.1.bn1.bias	shape=(64,)	numel=64	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.4.1.conv2.weight	shape=(64, 64, 3, 3)	numel=36,864	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.4.1.bn2.weight	shape=(64,)	numel=64	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.4.1.bn2.bias	shape=(64,)	numel=64	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.5.0.conv1.weight	shape=(128, 64, 3, 3)	numel=73,728	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.5.0.bn1.weight	shape=(128,)	numel=128	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.5.0.bn1.bias	shape=(128,)	numel=128	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.5.0.conv2.weight	shape=(128, 128, 3, 3)	numel=147,456	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.5.0.bn2.weight	shape=(128,)	numel=128	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.5.0.bn2.bias	shape=(128,)	numel=128	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.5.0.downsample.0.weight	shape=(128, 64, 1, 1)	numel=8,192	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.5.0.downsample.1.weight	shape=(128,)	numel=128	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.5.0.downsample.1.bias	shape=(128,)	numel=128	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.5.1.conv1.weight	shape=(128, 128, 3, 3)	numel=147,456	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.5.1.bn1.weight	shape=(128,)	numel=128	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.5.1.bn1.bias	shape=(128,)	numel=128	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.5.1.conv2.weight	shape=(128, 128, 3, 3)	numel=147,456	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.5.1.bn2.weight	shape=(128,)	numel=128	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.5.1.bn2.bias	shape=(128,)	numel=128	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.6.0.conv1.weight	shape=(256, 128, 3, 3)	numel=294,912	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.6.0.bn1.weight	shape=(256,)	numel=256	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.6.0.bn1.bias	shape=(256,)	numel=256	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.6.0.conv2.weight	shape=(256, 256, 3, 3)	numel=589,824	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.6.0.bn2.weight	shape=(256,)	numel=256	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.6.0.bn2.bias	shape=(256,)	numel=256	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.6.0.downsample.0.weight	shape=(256, 128, 1, 1)	numel=32,768	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.6.0.downsample.1.weight	shape=(256,)	numel=256	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.6.0.downsample.1.bias	shape=(256,)	numel=256	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.6.1.conv1.weight	shape=(256, 256, 3, 3)	numel=589,824	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.6.1.bn1.weight	shape=(256,)	numel=256	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.6.1.bn1.bias	shape=(256,)	numel=256	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.6.1.conv2.weight	shape=(256, 256, 3, 3)	numel=589,824	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.6.1.bn2.weight	shape=(256,)	numel=256	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.6.1.bn2.bias	shape=(256,)	numel=256	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.7.0.conv1.weight	shape=(512, 256, 3, 3)	numel=1,179,648	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.7.0.bn1.weight	shape=(512,)	numel=512	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.7.0.bn1.bias	shape=(512,)	numel=512	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.7.0.conv2.weight	shape=(512, 512, 3, 3)	numel=2,359,296	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.7.0.bn2.weight	shape=(512,)	numel=512	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.7.0.bn2.bias	shape=(512,)	numel=512	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.7.0.downsample.0.weight	shape=(512, 256, 1, 1)	numel=131,072	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.7.0.downsample.1.weight	shape=(512,)	numel=512	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.7.0.downsample.1.bias	shape=(512,)	numel=512	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.7.1.conv1.weight	shape=(512, 512, 3, 3)	numel=2,359,296	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.7.1.bn1.weight	shape=(512,)	numel=512	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.7.1.bn1.bias	shape=(512,)	numel=512	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.7.1.conv2.weight	shape=(512, 512, 3, 3)	numel=2,359,296	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.7.1.bn2.weight	shape=(512,)	numel=512	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.backbone.7.1.bn2.bias	shape=(512,)	numel=512	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.pool.nets.weight	shape=(32, 512, 1, 1)	numel=16,384	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.pool.nets.bias	shape=(32,)	numel=32	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.out.weight	shape=(64, 64)	numel=4,096	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.rgb_encoder.out.bias	shape=(64,)	numel=64	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.diffusion_step_encoder.1.weight	shape=(512, 128)	numel=65,536	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.diffusion_step_encoder.1.bias	shape=(512,)	numel=512	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.diffusion_step_encoder.3.weight	shape=(128, 512)	numel=65,536	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.diffusion_step_encoder.3.bias	shape=(128,)	numel=128	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.0.0.conv1.block.0.weight	shape=(512, 7, 5)	numel=17,920	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.0.0.conv1.block.0.bias	shape=(512,)	numel=512	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.0.0.conv1.block.1.weight	shape=(512,)	numel=512	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.0.0.conv1.block.1.bias	shape=(512,)	numel=512	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.0.0.cond_encoder.1.weight	shape=(1024, 485)	numel=496,640	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.0.0.cond_encoder.1.bias	shape=(1024,)	numel=1,024	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.0.0.conv2.block.0.weight	shape=(512, 512, 5)	numel=1,310,720	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.0.0.conv2.block.0.bias	shape=(512,)	numel=512	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.0.0.conv2.block.1.weight	shape=(512,)	numel=512	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.0.0.conv2.block.1.bias	shape=(512,)	numel=512	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.0.0.residual_conv.weight	shape=(512, 7, 1)	numel=3,584	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.0.0.residual_conv.bias	shape=(512,)	numel=512	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.0.1.conv1.block.0.weight	shape=(512, 512, 5)	numel=1,310,720	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.0.1.conv1.block.0.bias	shape=(512,)	numel=512	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.0.1.conv1.block.1.weight	shape=(512,)	numel=512	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.0.1.conv1.block.1.bias	shape=(512,)	numel=512	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.0.1.cond_encoder.1.weight	shape=(1024, 485)	numel=496,640	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.0.1.cond_encoder.1.bias	shape=(1024,)	numel=1,024	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.0.1.conv2.block.0.weight	shape=(512, 512, 5)	numel=1,310,720	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.0.1.conv2.block.0.bias	shape=(512,)	numel=512	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.0.1.conv2.block.1.weight	shape=(512,)	numel=512	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.0.1.conv2.block.1.bias	shape=(512,)	numel=512	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.0.2.weight	shape=(512, 512, 3)	numel=786,432	requires_grad=True	dtype=torch.float32	device=cuda:0
